nome_modelo,mse,rmse,tempo_consumo (s),memoria_consumo (mb)
ViTime_fixed_10seg_run21,1.7857372886759115,1.3363148164545329,0.26526739,7.256969451904297
ViTime_fixed_10seg_run22,1.7857372886759115,1.3363148164545329,0.263826452,7.256969451904297
ViTime_fixed_10seg_run23,1.7857372886759115,1.3363148164545329,0.264370813,7.256969451904297
ViTime_fixed_10seg_run24,1.7857372886759115,1.3363148164545329,0.262678019,7.256969451904297
ViTime_fixed_10seg_run25,1.7857372886759115,1.3363148164545329,0.262947702,7.256969451904297
ViTime_fixed_10seg_run26,1.7857372886759115,1.3363148164545329,0.261381165,7.256969451904297
ViTime_fixed_10seg_run27,1.7857372886759115,1.3363148164545329,0.264656615,7.256969451904297
ViTime_fixed_10seg_run28,1.7857372886759115,1.3363148164545329,0.263023588,7.256969451904297
ViTime_fixed_10seg_run29,1.7857372886759115,1.3363148164545329,0.264829547,7.256969451904297
ViTime_fixed_10seg_run30,1.7857372886759115,1.3363148164545329,0.269092033,7.256969451904297
ViTime_moving_10seg_run1,1.7857372886759115,1.3363148164545329,0.532116918,7.277803421020508
ViTime_moving_10seg_run2,1.7857372886759115,1.3363148164545329,0.262833013,7.257091522216797
ViTime_moving_10seg_run3,1.7857372886759115,1.3363148164545329,0.262227351,7.256969451904297
ViTime_moving_10seg_run4,1.7857372886759115,1.3363148164545329,0.262045284,7.256969451904297
ViTime_moving_10seg_run5,1.7857372886759115,1.3363148164545329,0.262614772,7.256969451904297
ViTime_moving_10seg_run6,1.7857372886759115,1.3363148164545329,0.265807509,7.256969451904297
ViTime_moving_10seg_run7,1.7857372886759115,1.3363148164545329,0.264177535,7.256969451904297
ViTime_moving_10seg_run8,1.7857372886759115,1.3363148164545329,0.266449365,7.256969451904297
ViTime_moving_10seg_run9,1.7857372886759115,1.3363148164545329,0.263994886,7.256969451904297
ViTime_moving_10seg_run10,1.7857372886759115,1.3363148164545329,0.263430275,7.256969451904297
ViTime_moving_10seg_run11,1.7857372886759115,1.3363148164545329,0.265525332,7.256969451904297
ViTime_moving_10seg_run12,1.7857372886759115,1.3363148164545329,0.268283468,7.256969451904297
ViTime_moving_10seg_run13,1.7857372886759115,1.3363148164545329,0.265661948,7.256969451904297
ViTime_moving_10seg_run14,1.7857372886759115,1.3363148164545329,0.264546367,7.256969451904297
ViTime_moving_10seg_run15,1.7857372886759115,1.3363148164545329,0.265078746,7.256969451904297
ViTime_moving_10seg_run16,1.7857372886759115,1.3363148164545329,0.264882614,7.256969451904297
